sample_index,starting_weight,normalized_prediction_error,ada_normalized_prediction_error,fi_normalized_prediction_error,adaboost_updated_weight,fi_adaboost_updated_weight,Phi_i,fi_modulated_loss,adaboost_weight_change,fi_adaboost_weight_change
91,0.000416666666667,0.0208923831281,0.0777359812141,0.0208923831281,0.000427673208479,0.000394721915231,0.93144162163,0.0194600352205,1.10065418125e-05,-2.19447514357e-05
92,0.000416666666667,0.000999360355639,0.0316336132744,0.000999360355639,0.000395893602956,0.000365306880937,0.962024694546,0.000961409340875,-2.07730637106e-05,-5.13597857293e-05
93,0.000416666666667,0.0353674410327,0.0565906088884,0.0353674410327,0.000412792214929,0.000418043503129,0.937920889551,0.0331718617545,-3.87445173723e-06,1.37683646209e-06
94,0.000416666666667,0.0221982994031,0.0505455030669,0.0221982994031,0.000408633962348,0.000396716794619,0.930890820751,0.0206641931506,-8.03270431913e-06,-1.99498720475e-05
95,0.000416666666667,0.00764598033262,0.00727338155491,0.00764598033262,0.000380066454606,0.000374901479718,0.935669877799,0.00715411348347,-3.66002120607e-05,-4.17651869488e-05
96,0.000416666666667,0.00800573042172,0.0463149668452,0.00800573042172,0.00040574883941,0.000375355046846,0.929699721072,0.00744292534005,-1.09178272567e-05,-4.13116198205e-05
97,0.000416666666667,0.0179470391257,0.064315014873,0.0179470391257,0.000418167246266,0.000390425507244,0.938640463666,0.0168458171264,1.50057959886e-06,-2.62411594229e-05
98,0.000416666666667,0.00571841822078,0.0828011996707,0.00571841822078,0.000431316767433,0.000372083653468,0.935919267687,0.00535197779352,1.46501007664e-05,-4.4583013199e-05
99,0.000416666666667,0.0128768186905,0.0354624699675,0.0128768186905,0.000398440509247,0.000382649390122,0.935037783169,0.0120403120026,-1.822615742e-05,-3.40172765442e-05
100,0.000416666666667,0.03811560897,0.133382825193,0.03811560897,0.000469448534537,0.000421389594838,0.920257365799,0.0350761699066,5.27818678705e-05,4.72292817173e-06
101,0.000416666666667,0.00289731808122,0.0297325938644,0.00289731808122,0.000394635123966,0.000367963644659,0.929244372287,0.0026923165217,-2.20315427011e-05,-4.87030220072e-05
102,0.000416666666667,0.00665593913713,0.052000942821,0.00665593913713,0.000409631272516,0.000373470186499,0.937573427016,0.00624043166681,-7.03539415057e-06,-4.31964801674e-05
103,0.000416666666667,0.0408761282287,0.141728501082,0.0408761282287,0.000476056387443,0.000427099751783,0.936763059515,0.0382912469406,5.93897207767e-05,1.04330851163e-05
104,0.000416666666667,0.00982001336602,0.0195376999761,0.00982001336602,0.000387954021879,0.000378089910641,0.93452070742,0.00917700583768,-2.87126447877e-05,-3.8576756026e-05
105,0.000416666666667,0.00477051279469,0.0501178483448,0.00477051279469,0.000408341382552,0.000370638362509,0.927016121329,0.00442234226768,-8.32528411505e-06,-4.60283041577e-05
106,0.000416666666667,0.015857554913,0.02138272367,0.015857554913,0.000389154697003,0.000386883451767,0.925039840654,0.0146688700699,-2.75119696637e-05,-2.97832148996e-05
107,0.000416666666667,0.0237273061583,0.00451848914381,0.0237273061583,0.000378316870693,0.000399328901392,0.936971170978,0.0222318018353,-3.83497959737e-05,-1.73377652743e-05
108,0.000416666666667,0.0205064103145,0.0151788761643,0.0205064103145,0.000385132149168,0.000394343396555,0.937797743656,0.0192308653235,-3.15345174986e-05,-2.2323270112e-05
109,0.000416666666667,0.00776087414889,0.00268491039186,0.00776087414889,0.000377156863386,0.000375067619887,0.935454528008,0.00725994486389,-3.95098032808e-05,-4.15990467797e-05
110,0.000416666666667,0.0147110914515,0.0305859778245,0.0147110914515,0.000395199570405,0.000385087322867,0.92157278874,0.0135573415744,-2.1467096262e-05,-3.15793438001e-05
111,0.000416666666667,0.0110443586869,0.0200170575327,0.0110443586869,0.000388265613886,0.000379699944041,0.922825417754,0.0101920149191,-2.84010527808e-05,-3.69667226254e-05
112,0.000416666666667,0.00626031131692,0.0530527362063,0.00626031131692,0.000410353507038,0.000372773383928,0.92556930323,0.00579435198361,-6.31315962903e-06,-4.38932827382e-05
113,0.000416666666667,0,0.108191423817,0,0.000450053842192,0.000363839512047,0.982659576367,0,3.33871755253e-05,-5.28271546197e-05
114,0.000416666666667,0.023980359549,0.0851897707933,0.023980359549,0.000433045690319,0.000399507361178,0.93153427057,0.0223385267405,1.6379023652e-05,-1.7159305489e-05
115,0.000416666666667,0.0200631126828,0.102717593105,0.0200631126828,0.000445946709574,0.000392988102409,0.917530107639,0.0184085099394,2.92800429069e-05,-2.36785642581e-05
