date,ALLSKY_SFC_SW_DWN,T2M,RH2M,ALLSKY_KT,lat,lon
2024-09-13,3.6547,26.37,83.84,0.35,7.250792737060687,125.43741689857494
2024-09-14,3.2422,26.75,84.91,0.31,7.250792737060687,125.43741689857494
2024-09-15,4.0704,26.19,84.24,0.4,7.250792737060687,125.43741689857494
2024-09-16,4.4232,25.97,86.3,0.43,7.250792737060687,125.43741689857494
2024-09-17,4.1364,26.12,88.06,0.4,7.250792737060687,125.43741689857494
2024-09-18,5.317,25.78,87.08,0.52,7.250792737060687,125.43741689857494
2024-09-19,2.4818,25.58,91.29,0.24,7.250792737060687,125.43741689857494
2024-09-20,5.6095,26.28,87.29,0.55,7.250792737060687,125.43741689857494
2024-09-21,5.5651,27.04,82.34,0.54,7.250792737060687,125.43741689857494
2024-09-22,4.8106,27.67,79.58,0.47,7.250792737060687,125.43741689857494
2024-09-23,5.7893,26.2,84.86,0.57,7.250792737060687,125.43741689857494
2024-09-24,4.829,27.49,79.55,0.47,7.250792737060687,125.43741689857494
2024-09-25,5.4103,27.85,80.15,0.53,7.250792737060687,125.43741689857494
2024-09-26,5.3837,27.8,79.53,0.53,7.250792737060687,125.43741689857494
2024-09-27,5.6342,27.47,81.92,0.55,7.250792737060687,125.43741689857494
2024-09-28,5.7358,26.52,90.98,0.56,7.250792737060687,125.43741689857494
2024-09-29,5.6472,26.82,86.9,0.55,7.250792737060687,125.43741689857494
2024-09-30,4.92,27.2,84.37,0.48,7.250792737060687,125.43741689857494
2024-10-01,5.1958,27.23,83.98,0.51,7.250792737060687,125.43741689857494
2024-10-02,6.0,27.24,81.99,0.59,7.250792737060687,125.43741689857494
2024-10-03,3.4582,27.97,80.54,0.34,7.250792737060687,125.43741689857494
2024-10-04,6.0226,27.49,81.81,0.6,7.250792737060687,125.43741689857494
2024-10-05,5.622,27.65,82.99,0.56,7.250792737060687,125.43741689857494
2024-10-06,5.8613,27.45,82.94,0.58,7.250792737060687,125.43741689857494
2024-10-07,5.8642,27.8,81.59,0.58,7.250792737060687,125.43741689857494
2024-10-08,5.4648,27.18,84.35,0.54,7.250792737060687,125.43741689857494
2024-10-09,5.6786,28.73,76.02,0.57,7.250792737060687,125.43741689857494
2024-10-10,5.5968,27.9,82.11,0.56,7.250792737060687,125.43741689857494
2024-10-11,5.5867,27.94,81.78,0.56,7.250792737060687,125.43741689857494
2024-10-12,4.739,27.79,81.85,0.47,7.250792737060687,125.43741689857494
2024-10-13,5.6282,28.7,77.03,0.56,7.250792737060687,125.43741689857494
2024-10-14,5.3914,27.92,83.33,0.54,7.250792737060687,125.43741689857494
2024-10-15,5.0789,28.19,80.0,0.51,7.250792737060687,125.43741689857494
2024-10-16,5.5589,27.78,84.48,0.56,7.250792737060687,125.43741689857494
2024-10-17,5.1912,27.21,85.51,0.52,7.250792737060687,125.43741689857494
2024-10-18,5.5142,28.32,77.4,0.56,7.250792737060687,125.43741689857494
2024-10-19,5.2241,27.68,83.01,0.53,7.250792737060687,125.43741689857494
2024-10-20,5.3786,27.05,86.43,0.55,7.250792737060687,125.43741689857494
2024-10-21,3.6533,25.9,88.42,0.37,7.250792737060687,125.43741689857494
2024-10-22,3.2114,25.96,85.51,0.33,7.250792737060687,125.43741689857494
2024-10-23,4.0082,26.8,82.18,0.41,7.250792737060687,125.43741689857494
2024-10-24,4.5161,26.55,85.35,0.46,7.250792737060687,125.43741689857494
2024-10-25,3.833,26.42,84.87,0.39,7.250792737060687,125.43741689857494
2024-10-26,4.074,26.67,82.78,0.42,7.250792737060687,125.43741689857494
2024-10-27,4.5324,26.04,83.32,0.47,7.250792737060687,125.43741689857494
2024-10-28,4.8929,26.55,82.31,0.51,7.250792737060687,125.43741689857494
2024-10-29,4.8761,26.6,84.1,0.5,7.250792737060687,125.43741689857494
2024-10-30,5.7502,27.98,77.08,0.6,7.250792737060687,125.43741689857494
2024-10-31,5.1881,28.29,75.14,0.54,7.250792737060687,125.43741689857494
2024-11-01,5.7139,27.12,81.23,0.6,7.250792737060687,125.43741689857494
2024-11-02,4.9529,27.27,83.15,0.52,7.250792737060687,125.43741689857494
2024-11-03,5.7293,26.85,84.76,0.6,7.250792737060687,125.43741689857494
2024-11-04,5.0177,27.87,80.46,0.53,7.250792737060687,125.43741689857494
2024-11-05,4.4503,26.72,86.05,0.47,7.250792737060687,125.43741689857494
2024-11-06,5.2246,27.35,82.93,0.55,7.250792737060687,125.43741689857494
2024-11-07,4.8934,27.49,82.59,0.52,7.250792737060687,125.43741689857494
2024-11-08,5.8224,28.22,77.16,0.62,7.250792737060687,125.43741689857494
2024-11-09,5.6549,26.95,82.09,0.6,7.250792737060687,125.43741689857494
2024-11-10,5.1924,27.61,81.57,0.55,7.250792737060687,125.43741689857494
2024-11-11,5.1941,28.11,81.4,0.55,7.250792737060687,125.43741689857494
2024-11-12,5.5906,28.37,79.08,0.6,7.250792737060687,125.43741689857494
2024-11-13,5.7797,28.35,79.05,0.62,7.250792737060687,125.43741689857494
2024-11-14,5.6081,28.41,79.0,0.6,7.250792737060687,125.43741689857494
2024-11-15,5.5435,27.78,83.74,0.6,7.250792737060687,125.43741689857494
2024-11-16,4.7897,27.09,86.7,0.52,7.250792737060687,125.43741689857494
2024-11-17,5.3417,27.48,82.84,0.58,7.250792737060687,125.43741689857494
2024-11-18,3.7274,26.22,90.72,0.4,7.250792737060687,125.43741689857494
2024-11-19,2.9446,25.84,93.57,0.32,7.250792737060687,125.43741689857494
2024-11-20,4.7251,26.34,88.74,0.51,7.250792737060687,125.43741689857494
2024-11-21,5.5858,26.74,85.01,0.61,7.250792737060687,125.43741689857494
